제목,장소,주소,기간,이미지url,상세url,세부장르,후기유무,줄거리,작품설명
더 픽션,예스24스테이지 1관,서울 종로구 동숭동 1-52,2023/06/24 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188080_01.440.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006429,창작,X,줄거리 없음,작품설명 없음
오즈,대학로 티오엠 2관,서울특별시 종로구 대학로8가길 85(동숭동 1-80),2023/07/11 ~ 2023/09/17,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188703_01.230.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007189,창작,O,"많은 일자리들이 인공지능으로 대체된 2045년.
사람 하나 없는 무인 VR기기 공장에서 유일한 인간 노동자로 일하는 준.

준의 유일한 낙인 가상현실 게임 <오즈>!
<오즈>에서 새로운 시즌 스토리모드가 시작되고,
접속하지 않는 자신의 유저를 기다리는 <오즈>의 AI 양철은
운 좋게 스토리모드 입장 티켓인 황금 나비를 잡게 되고
준은 양철에게 스토리모드를 함께하자고 제안하는데..

무과금 유저 준과 주인 없는 AI 양철.
둘은 스토리모드의 끝까지 도달해 원하는 소원을 이룰 수 있을까?","판타지 소설 ‘오즈의 마법사’를 모티브로 한 창작 뮤지컬 ‘오즈’
7월 11일 대학로 TOM 2관에서 개막!

판타지 소설 ‘오즈의 마법사’를 모티브로 창작된 뮤지컬 ‘오즈’는
가상현실 VR 게임인 ‘오즈’를 배경으로 펼쳐지는 인간과 VR 게임 세상의 캐릭터 AI의 우정과 그들의 여정을 그린 작품이다.

가상 현실인 VR과 현실 세계, 인간과 AI의 우정 등 다양한 키워드들을 통해 남녀노소,
그리고 현재와 미래를 살아가는 우리가 공감할 수 있는 메시지를 전하고자 한다.


강찬, 이승헌, 황두현, 송유택, 윤은오, 홍성원, 송상훈, 송효원, 정경훈, 임태현까지
준과 양철, 그리고 그들이 함께 하는 여정을 통해
따뜻한 위로와 응원을 전해줄 뮤지컬 ‘오즈’

VR기기 공장에서 일하는 유일한 인간이자 가상 현실 게임 ‘오즈’의 무과금 유저 ‘준’ 역의 강찬, 이승헌, 황두현
VR 게임 ‘오즈’ 속 인간의 마음을 찾길 꿈꾸는, 인간보다 더 인간 같은 AI ‘양철’ 역의 송유택, 윤은오, 홍성원
게임의 최상위 플레이어가 되기 위해 돈을 쓰는 현질을 아끼지 않는 ‘오즈’의 유저 ‘맥스 역의 송상훈, 송효원
‘맥스’의 AI이자 계산 능력과 게임 성능이 오즈 내에서 최고인 AI ‘버튼’역의 정경훈, 임태현"
우리가족,아이들극장,서울특별시 종로구 혜화동 1-21 올림픽기념 국민생활관 신관 아이들극장,2023/08/03 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_189082_01.253.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007680,어린이/가족,O,줄거리 없음,작품설명 없음
시카고 - 대구,대구 계명아트센터,대구광역시 달서구 달구벌대로 1095 계명아트센터,2023/08/25 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_190074_01.532.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008851,오리지널,O,줄거리 없음,작품설명 없음
난타 - 제주,제주 난타 전용극장,제주특별자치도 제주시 선돌목동길 56-26(오등동),2017/01/10 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/17/02/0400011702_104328_0512.gif,후기탭 없음,창작,X,줄거리 없음,작품설명 없음
김종욱 찾기,"브릭스 씨어터 (구, 콘텐츠 그라운드)",서울 종로구 동숭동 1-93 더 브릭스 빌딩 지하,2022/11/18 ~ 2023/09/30,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/22/11/0400012211_181148_01.708.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=22015381,창작,X,줄거리 없음,작품설명 없음
투모로우 모닝,대학로 자유극장,서울 종로구 동숭동 1-45 자유빌딩 지하 2층(디자인 샾 텐바이텐 지하),2023/06/03 ~ 오픈런,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/05/0400012305_188624_01.253.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23007065,라이선스,X,줄거리 없음,작품설명 없음
빨래,유니플렉스 2관,서울 종로구 동숭동 1-94 유니플렉스,2023/02/09 ~ 2023/10/01,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/01/0400012301_183662_01.827.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23000548,창작,O,줄거리 없음,작품설명 없음
라흐 헤스트,대학로 드림아트센터 1관,서울 종로구 동숭동 1-42,2023/06/13 ~ 2023/09/03,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/04/0400012304_187910_01.847.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23006207,창작,X,줄거리 없음,작품설명 없음
궁 나와라 뚝딱!,경복궁 아트홀,서울시 종로구 효자동 70-1,2023/08/05 ~ 2023/09/24,http://ticketimage.interpark.com/PlayDictionary/DATA/PlayDic/PlayDicUpload/040001/23/06/0400012306_189816_01.426.gif,http://ticket.interpark.com/gate/TPGate.asp?Where=WPlayDb&GPage=http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=23008539,어린이/가족,X,줄거리 없음,작품설명 없음
